体育,#genre#

CCTV5,http://gouwu.pthv.gitv.tv:91/live/CCTV5hd-8M/live.m3u8
CCTV5+,http://gouwu.pthv.gitv.tv:91/live/CCTV5+hd-8M/live.m3u8
CCTV16,http://gouwu.pthv.gitv.tv:91/live/CCTV16hd-8M/live.m3u8

卫视,#genre#

湖南卫视,http://gouwu.pthv.gitv.tv:91/live/HuNWS-8M/live.m3u8 
江苏卫视,http://gouwu.pthv.gitv.tv:91/live/JSWS-8M/live.m3u8 
东方卫视,http://gouwu.pthv.gitv.tv:91/live/DFWS-8M/live.m3u8 
浙江卫视,http://gouwu.pthv.gitv.tv:91/live/ZJWS-8M/live.m3u8 
北京卫视,http://gouwu.pthv.gitv.tv:91/live/BJWS-8M/live.m3u8
天津卫视,http://gouwu.pthv.gitv.tv:91/live/TJWS-8M/live.m3u8 
广东卫视,http://gouwu.pthv.gitv.tv:91/live/GDWS-8M/live.m3u8 
深圳卫视,http://gouwu.pthv.gitv.tv:91/live/SZWS-8M/live.m3u8 


央视,#genre#

CCTV1,http://gouwu.pthv.gitv.tv:91/live/CCTV1hd-8M/live.m3u8
CCTV2,http://gouwu.pthv.gitv.tv:91/live/CCTV2hd-8M/live.m3u8
CCTV3,http://gouwu.pthv.gitv.tv:91/live/CCTV3hd-8M/live.m3u8
CCTV4,http://gouwu.pthv.gitv.tv:91/live/CCTV4hd-8M/live.m3u8
CCTV6,http://gouwu.pthv.gitv.tv:91/live/CCTV6hd-8M/live.m3u8
CCTV7,http://gouwu.pthv.gitv.tv:91/live/CCTV7hd-8M/live.m3u8
CCTV8,http://gouwu.pthv.gitv.tv:91/live/CCTV8hd-8M/live.m3u8
CCTV9,http://gouwu.pthv.gitv.tv:91/live/CCTV9hd-8M/live.m3u8
CCTV10,http://gouwu.pthv.gitv.tv:91/live/CCTV10hd-8M/live.m3u8
CCTV11,http://gouwu.pthv.gitv.tv:91/live/CCTV11hd-8M/live.m3u8
CCTV12,http://gouwu.pthv.gitv.tv:91/live/CCTV12hd-8M/live.m3u8
CCTV13,http://gouwu.pthv.gitv.tv:91/live/CCTV13hd-8M/live.m3u8
CCTV14,http://gouwu.pthv.gitv.tv:91/live/CCTV14hd-8M/live.m3u8
CCTV15,http://gouwu.pthv.gitv.tv:91/live/CCTV15hd-8M/live.m3u8
CCTV17,http://gouwu.pthv.gitv.tv:91/live/CCTV17hd-8M/live.m3u8

